t,x,y,theta,apf_vx,apf_vy,pwm_l,pwm_r,vel_left_cmd,vel_right_cmd,v_l_true,v_r_true,v_true,w_true
0.0,6.4189275,0.0,1.3093374773778237,282.88543140028287,282.88543140028287,76,95,355.0,445.0,105.52629999999998,151.2308,128.37855,26.186749547556715
0.05,12.836179009672787,0.14667416902298108,2.6186749547556474,281.90205819730306,283.88928317956,76,95,356.0,444.0,105.52629999999998,151.2308,128.37855,26.186749547556715
0.1,19.18832872328901,0.43719831587708063,3.8590999333241314,281.1965811965812,284.61538461538464,76,94,357.0,443.0,105.52629999999998,148.82529999999997,127.17579999999998,24.80849957136951
0.15000000000000002,25.532700654864612,0.8651645037186962,5.099524911892615,280.2001429592566,285.63259471050753,76,94,358.0,442.0,105.52629999999998,148.82529999999997,127.17579999999998,24.80849957136951
0.2,31.8663213080237,1.4303721522662376,6.339949890461099,279.2831541218638,286.4516129032258,76,94,359.0,441.0,105.52629999999998,148.82529999999997,127.17579999999998,24.80849957136951
0.25,38.24599193645345,2.1391971821622326,7.511462370220215,278.56115107913666,287.19424460431657,77,94,360.0,440.0,107.9318,148.82529999999997,128.37855,23.430249595182307
0.3,44.60983687987292,2.9783084896600496,8.682974849979331,277.7456647398844,288.15028901734104,77,94,361.0,439.0,107.9318,148.82529999999997,128.37855,23.430249595182307
0.35,50.89574744949654,3.938276496832209,9.785574830929079,276.81159420289856,288.9855072463768,77,93,362.0,438.0,107.9318,146.4198,127.17580000000001,22.05199961899513
0.39999999999999997,57.16202163545816,5.01902535315873,10.888174811878827,276.07272727272726,289.74545454545455,77,93,362.0,438.0,107.9318,146.4198,127.17580000000001,22.05199961899513
0.44999999999999996,63.40633891042852,6.220154835607117,11.990774792828574,275.23739956172386,290.43097151205257,77,93,363.0,437.0,107.9318,146.4198,127.17580000000001,22.05199961899513
0.49999999999999994,69.68521224189826,7.553713959761129,13.024462274968982,274.4868035190616,291.2023460410557,78,93,364.0,436.0,110.33729999999998,146.4198,128.37855,20.67374964280794
0.5499999999999999,75.93900598778053,9.000328640393098,14.05814975710939,273.73068432671084,291.9793966151582,78,93,366.0,434.0,110.33729999999998,146.4198,128.37855,20.67374964280794
0.6,82.16568467658757,10.559528036433441,15.091837239249799,272.9689807976366,292.466765140325,78,93,366.0,434.0,110.33729999999998,146.4198,128.37855,20.67374964280794
0.65,88.30515832053078,12.215146845044492,16.05661222258084,272.106824925816,293.4718100890208,78,92,367.0,433.0,110.33729999999998,144.0143,127.17579999999998,19.29549966662074
0.7000000000000001,94.41588478703423,13.973905587929416,17.02138720591188,271.33283693224126,293.9687267311988,78,92,368.0,432.0,110.33729999999998,144.0143,127.17579999999998,19.29549966662074
0.7500000000000001,100.55363472181247,15.852909576319526,17.91724969043355,270.55306427503734,294.76831091180867,79,92,369.0,431.0,112.7428,144.0143,128.37855,17.917249690433533
0.8000000000000002,106.66125596399831,17.827648296316788,18.813112174955222,269.96996996996995,295.4954954954955,79,92,369.0,431.0,112.7428,144.0143,128.37855,17.917249690433533
0.8500000000000002,112.73725537305982,19.89763898019447,19.708974659476894,269.1785983421251,296.0060286360211,79,92,369.0,431.0,112.7428,144.0143,128.37855,17.917249690433533
0.9000000000000002,118.78014753910827,22.06237557381655,20.604837143998566,268.58440575321725,296.7448902346707,79,92,370.0,430.0,112.7428,144.0143,128.37855,17.917249690433533
