test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,70,70,81.2389,-2.4350,92.6810,-2.2844,0.2565,-91.1588,-2.292,0.4188,-96.0289
linear_bwd,-70,-70,78.8525,-0.5334,-84.9799,-2.2921,0.4188,-96.0091,-2.2783,0.2617,-97.076
linear_fwd,80,80,119.3704,-2.4242,99.5965,-2.2783,0.2617,-97.0598,-2.3181,0.4971,-101.9082
linear_bwd,-80,-80,109.9787,-0.7403,-78.0617,-2.318,0.4971,-101.8789,-2.2725,0.2819,-103.3595
linear_bwd,-90,-90,139.6879,-0.1821,-77.2621,-2.273,0.2815,-103.2533,-2.2114,0.009,-103.6175
angular_cw,70,-70,17.7781,-84.9915,N/A,-2.2113,0.0089,-103.6288,-2.2045,-0.026,86.3882
angular_ccw,-70,70,18.6775,73.0952,N/A,-2.2045,-0.026,86.396,-2.2241,0.0058,-127.4136
angular_cw,80,-80,16.8253,-115.0520,N/A,-2.2242,0.0054,-127.8299,-2.1936,-0.0086,2.066
angular_ccw,-80,80,18.4133,112.4723,N/A,-2.1936,-0.0087,2.0427,-2.2304,-0.0073,-133.0128
angular_cw,90,-90,11.4237,-146.2165,N/A,-2.2305,-0.0072,-133.0313,-2.2083,-0.0018,-65.4644
angular_ccw,-90,90,13.5023,138.9465,N/A,-2.2082,-0.0019,-65.4561,-2.2295,-0.0185,-147.5631
angular_cw,100,-100,1.7263,-177.0892,N/A,-2.2295,-0.0185,-147.5714,-2.2289,-0.0151,-141.7499
angular_ccw,-100,100,6.4031,166.5657,N/A,-2.229,-0.0151,-141.7706,-2.2286,-0.0279,-168.6391
