test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,70,70,109.2555,0.3530,179.4231,1.3101,-0.4433,178.6837,1.0916,-0.4411,179.3897
linear_bwd,-70,-70,86.5743,0.1796,-1.3568,1.0914,-0.4411,179.4787,1.2645,-0.4452,179.8379
linear_fwd,80,80,133.0115,-1.8182,-179.2462,1.2642,-0.4452,-179.868,0.9982,-0.4487,176.4956
linear_bwd,-80,-80,117.9081,0.3839,1.7983,0.9982,-0.4487,176.4954,1.2339,-0.4413,177.2633
linear_fwd,90,90,159.6219,-0.3869,-175.1484,1.2339,-0.4413,177.2788,0.9158,-0.4683,176.5049
linear_bwd,-90,-90,139.5522,-0.3566,5.3245,0.9158,-0.4683,176.5101,1.1937,-0.4424,175.7969
angular_cw,70,-70,19.6684,-83.6281,N/A,1.1937,-0.4424,175.8048,1.233,-0.4441,8.5487
angular_ccw,-70,70,21.9586,85.0393,N/A,1.2331,-0.4441,8.6532,1.1937,-0.4635,178.7318
angular_cw,80,-80,16.4898,-115.6799,N/A,1.1944,-0.4637,177.2157,1.2226,-0.4466,-54.1441
angular_ccw,-80,80,17.7844,115.4549,N/A,1.2225,-0.4466,-54.18,1.2042,-0.4771,176.7298
