test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,0.0500,-0.1189,90.0000,-1.6504,1.2448,62.7528,-1.6504,1.2449,62.515
linear_bwd,-40,-40,0.0500,-0.0172,90.0000,-1.6504,1.2448,62.7195,-1.6504,1.2449,62.685
linear_fwd,50,50,382.5523,77.3522,-63.7498,-1.6504,1.2448,62.6573,-1.312,0.5586,-142.6383
linear_bwd,-50,-50,865.5172,-74.2209,-21.8659,-1.3119,0.5586,-142.6448,0.2946,-0.0861,68.9133
linear_fwd,60,60,867.9253,62.2159,158.3684,0.2997,-0.0982,-44.3484,-1.3139,0.5417,80.0834
linear_bwd,-60,-60,760.0927,-60.2086,9.3241,-1.3137,0.177,120.5442,0.1864,0.4233,0.1269
linear_fwd,70,70,90.6009,0.3565,0.2530,0.1864,0.4236,0.2782,0.3676,0.4244,0.9912
linear_bwd,-70,-70,96.0000,0.4330,-179.9702,0.3683,0.4235,0.3903,0.1763,0.4234,1.2562
linear_fwd,80,80,119.0377,-9.8688,4.6257,0.1766,0.4237,1.1866,0.4139,0.4429,-18.5509
linear_bwd,-80,-80,119.9542,1.0371,-179.5223,0.4067,0.4251,0.8411,0.1668,0.4231,2.9153
linear_fwd,90,90,0.3536,-0.2839,-81.8699,0.1663,0.4239,2.8495,0.1664,0.4232,2.2818
linear_bwd,-90,-90,149.1987,1.9018,-175.8104,0.1666,0.4232,3.2555,-0.131,0.4014,7.0592
linear_fwd,100,100,162.5967,-1.0709,4.4798,-0.1311,0.4023,6.4663,0.1931,0.4277,4.3246
linear_bwd,-100,-100,166.8297,0.8981,-176.1334,0.192,0.4279,4.7222,-0.1409,0.4054,6.5184
linear_fwd,110,110,863.5995,27.8148,150.9151,-0.1406,0.4055,6.054,-1.65,1.2451,61.6836
linear_bwd,-110,-110,852.9350,-29.5956,-29.1029,-1.6504,1.2448,62.7393,-0.1599,0.4151,3.5481
linear_fwd,120,120,128.9201,-25.0472,-53.2145,-0.1599,0.4151,3.5671,-0.0055,0.2086,-46.5274
linear_bwd,-120,-120,0.5408,0.5153,-56.3099,-0.0061,0.2085,-46.7893,-0.0055,0.2076,-45.7587
linear_fwd,130,130,242.4200,-5.0433,-53.1159,-0.0056,0.2083,-46.244,0.2854,-0.1795,-56.3306
linear_bwd,-130,-130,236.7977,-6.4707,124.7135,0.2858,-0.1788,-56.3249,0.0161,0.2105,-69.2663
linear_fwd,140,140,893.1228,-63.9856,-26.0415,-1.3158,0.5597,65.696,0.2891,-0.2245,-62.2752
linear_bwd,-140,-140,257.3865,-1.9331,114.9322,0.2892,-0.2245,-62.269,0.0722,0.2423,-66.1352
linear_fwd,150,150,276.6861,-2.2695,-68.2005,0.072,0.2423,-66.4891,0.2775,-0.2715,-71.028
linear_bwd,-150,-150,283.2613,-0.8155,108.5149,0.278,-0.271,-70.5643,0.0981,0.2662,-72.1953
linear_fwd,160,160,304.9458,-1.7241,-74.5669,0.0981,0.2662,-72.1854,0.2604,-0.3217,-75.6336
linear_bwd,-160,-160,308.1076,-1.4262,101.7512,0.2603,-0.3234,-76.0706,0.1348,0.2799,-78.9229
linear_fwd,170,170,331.7316,1.0126,-78.2243,0.1354,0.2806,-79.5513,0.2708,-0.3689,-77.5261
linear_bwd,-170,-170,15.3806,7.3458,-8.7886,0.2404,-0.3633,-91.7299,0.2708,-0.368,-77.0383
angular_cw,50,-50,0.6946,-0.9328,N/A,0.2703,-0.3669,-76.8872,0.271,-0.3681,-78.7528
angular_ccw,-50,50,0.5831,1.4446,N/A,0.271,-0.3691,-79.0996,0.2704,-0.3681,-76.2104
angular_cw,60,-60,13.1732,-18.6928,N/A,0.2705,-0.3679,-76.0442,0.2592,-0.3917,-113.4297
angular_ccw,-60,60,11.2735,42.5112,N/A,0.2593,-0.3912,-113.0196,0.2699,-0.3713,-27.9972
angular_cw,70,-70,6.9260,45.7632,N/A,0.2692,-0.3673,-24.1758,0.2704,-0.3811,67.3507
angular_ccw,-70,70,15.7912,85.6227,N/A,0.2717,-0.3688,-26.9046,0.2405,-0.3639,144.3409
angular_cw,80,-80,1241.3086,-41.8240,N/A,0.2396,-0.3646,145.1333,-1.6501,1.2455,61.4853
angular_ccw,-80,80,1248.2320,57.6499,N/A,-1.6504,1.2448,62.7061,0.2488,-0.3755,178.0059
angular_cw,90,-90,3.2330,-51.5566,N/A,0.2478,-0.3747,179.8501,0.2423,-0.3781,76.737
angular_ccw,-90,90,1240.2806,98.6738,N/A,0.2544,-0.3442,-134.7067,-1.6504,1.2448,62.6409
angular_cw,100,-100,1243.0431,-90.6120,N/A,-1.6504,1.2448,62.709,0.2436,-0.3656,-118.5151
angular_ccw,-100,100,1243.1135,90.7060,N/A,0.2437,-0.3657,-118.8461,-1.6504,1.2448,62.5659
angular_cw,110,-110,0.2236,-0.1265,N/A,-1.6504,1.2448,62.6959,-1.6502,1.2444,62.4428
angular_ccw,-110,110,372.9540,129.5534,N/A,-1.6499,1.2449,61.675,-1.317,0.5774,-39.2181
angular_cw,120,-120,1475.7774,-196.0722,N/A,-1.3223,0.5434,48.4447,1.2262,-0.9455,16.3003
angular_ccw,-120,120,8.3176,215.7323,N/A,1.2264,-0.9453,15.7914,1.2141,-0.9341,87.2559
angular_cw,130,-130,0.0707,-0.2593,N/A,1.2142,-0.934,87.8346,1.2141,-0.9341,87.3161
angular_ccw,-130,130,0.2236,-0.1429,N/A,1.2142,-0.9341,87.8314,1.2144,-0.9345,87.5456
angular_cw,140,-140,14.4779,-269.7631,N/A,1.2143,-0.9342,87.534,1.2113,-0.963,-91.9922
angular_ccw,-140,140,11.3589,273.8954,N/A,1.2114,-0.963,-91.9923,1.2123,-0.9403,95.7985
angular_cw,150,-150,13.3896,-294.7585,N/A,1.2123,-0.9403,95.8269,1.1991,-0.9636,-133.6901
