test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,70,70,111.1391,0.7090,-101.2594,1.1227,0.9573,99.7191,1.0793,0.7393,101.1371
linear_bwd,-70,-70,91.0862,-0.8990,78.6346,1.0793,0.7394,101.1017,1.1152,0.918,99.3037
linear_fwd,80,80,136.0574,0.5404,-101.0167,1.115,0.9175,100.0795,1.063,0.6504,101.1603
linear_bwd,-80,-80,116.6832,-0.2841,79.1571,1.0633,0.6509,100.2324,1.1072,0.8801,99.6641
linear_fwd,90,90,161.8650,-2.0647,-98.3479,1.1068,0.879,100.448,1.0598,0.5587,96.3186
linear_bwd,-90,-90,139.8962,-0.3767,82.1943,1.0598,0.5588,97.4627,1.0978,0.836,96.7093
angular_cw,70,-70,20.5548,-87.4510,N/A,1.0978,0.836,96.7478,1.1064,0.8762,-78.1542
angular_ccw,-70,70,0.0500,-0.0039,N/A,1.1064,0.8762,-78.1174,1.1064,0.8761,-78.1253
angular_cw,80,-80,15.6450,-121.0157,N/A,1.1064,0.8762,-78.1366,1.1179,0.8471,39.8319
angular_ccw,-80,80,18.6207,112.5406,N/A,1.1179,0.8471,39.8315,1.0883,0.8697,-95.0872
